Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Harry Purple Monkey Dishwasher: Harry's Second Adventure,"6,547,028","2,000.00",Angela Walker,Paperback,0986941360, 0986941360, 978-0986941368,https://www.amazon.co.uk/Harry-Purple-Monkey-Dishwasher-Adventure/dp/0986941360/ref=sr_1_840?s=books&ie=UTF8&qid=1540622772&sr=1-840&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Fishing in All the Right Places: Six Decades of Discovery,"9,892,724","2,000.00",Bob Silverman,Paperback,1410792145, 1410792145, 978-1410792143,https://www.amazon.co.uk/Fishing-All-Right-Places-Discovery/dp/1410792145/ref=sr_1_814?s=books&ie=UTF8&qid=1540622743&sr=1-814&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Virtually His,"9,821,220","2,000.00",Dee Brice,Paperback,1419958445, 1419958445, 978-1419958441,https://www.amazon.co.uk/Virtually-His-Dee-Brice/dp/1419958445/ref=sr_1_795?s=books&ie=UTF8&qid=1540622724&sr=1-795&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Exploring Psychology,"9,878,801","2,000.00",David G. Myers,Paperback,1429207876, 1429207876, 978-1429207874,https://www.amazon.co.uk/Exploring-Psychology-David-G-Myers/dp/1429207876/ref=sr_1_779?s=books&ie=UTF8&qid=1540622708&sr=1-779&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Japanese Baseball Road Trip Guide,"5,712,102","1,999.96",Jim Spavins,Paperback,1453880631, 1453880631, 978-1453880630,https://www.amazon.co.uk/Japanese-Baseball-Road-Trip-Guide/dp/1453880631/ref=sr_1_760?s=books&ie=UTF8&qid=1540622688&sr=1-760&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Riding the Ox Home: A Zen Approach to Acting,"4,128,410","2,000.00",A.F. Winter,Paperback,1463714912, 1463714912, 978-1463714918,https://www.amazon.co.uk/Riding-Ox-Home-Approach-Acting/dp/1463714912/ref=sr_1_745?s=books&ie=UTF8&qid=1540622670&sr=1-745&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Archangels: Share Ease and Peace,"8,248,715","2,000.00",Julie Apolinario,Paperback,1477684131, 1477684131, 978-1477684139,https://www.amazon.co.uk/Archangels-Share-Ease-Peace/dp/1477684131/ref=sr_1_735?s=books&ie=UTF8&qid=1540622653&sr=1-735&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Purpose of Human Existence: What is Gods Plan For You And All Mankind,"7,101,051","2,000.00",Mr. L. Wayne,Paperback,1478268905, 1478268905, 978-1478268901,https://www.amazon.co.uk/Purpose-Human-Existence-What-Mankind/dp/1478268905/ref=sr_1_734?s=books&ie=UTF8&qid=1540622653&sr=1-734&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Alien Mind,"8,865,408","2,000.00",Virginia Lori Jennings,Paperback,1480111562, 1480111562, 978-1480111561,https://www.amazon.co.uk/Alien-Mind-Virginia-Lori-Jennings/dp/1480111562/ref=sr_1_732?s=books&ie=UTF8&qid=1540622653&sr=1-732&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Flannel John's Hunting & Fishing Camp Cookbook: The Cookbook Every Outdoorsman Needs To Have: 1,"7,386,774","2,000.00",Mr. Tim Murphy,Paperback,1480159522, 1480159522, 978-1480159525,https://www.amazon.co.uk/Flannel-Johns-Hunting-Fishing-Cookbook/dp/1480159522/ref=sr_1_731?s=books&ie=UTF8&qid=1540622653&sr=1-731&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Gospel of the Phoenix: Special Edition: Another Revelation of Jesus,"8,641,714","2,000.00",Stifyn Emrys,Paperback,1490969551, 1490969551, 978-1490969558,https://www.amazon.co.uk/Gospel-Phoenix-Special-Another-Revelation/dp/1490969551/ref=sr_1_730?s=books&ie=UTF8&qid=1540622653&sr=1-730&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Chiro Cases of Death: Is Chiropractic Care Safe?,"8,018,327","2,000.00",Ryan Seager,Paperback,1492367923, 1492367923, 978-1492367925,https://www.amazon.co.uk/Chiro-Cases-Death-Chiropractic-Care/dp/1492367923/ref=sr_1_728?s=books&ie=UTF8&qid=1540622653&sr=1-728&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Alpha-Maniacs Present: Slomo's Secret Treasure: A Blending Book: Volume 2,"6,473,998","2,000.00",Jennifer Makwana,Paperback,1492872725, 1492872725, 978-1492872726,https://www.amazon.co.uk/Alpha-Maniacs-Present-Slomos-Treasure-Blending/dp/1492872725/ref=sr_1_727?s=books&ie=UTF8&qid=1540622653&sr=1-727&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Progress Limited Edition: Volume 1,"8,484,313","2,000.00",Amy Queau,Paperback,1492907693, 1492907693, 978-1492907695,https://www.amazon.co.uk/Progress-Limited-1-Amy-Queau/dp/1492907693/ref=sr_1_726?s=books&ie=UTF8&qid=1540622653&sr=1-726&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
A Reason For Murder: Volume 2 (A Misty Sale Cozy Mystery),"7,627,880","1,999.50",Morgana Best,Paperback,1503313646, 1503313646, 978-1503313644,https://www.amazon.co.uk/Reason-Murder-Misty-Sale-Mystery/dp/1503313646/ref=sr_1_719?s=books&ie=UTF8&qid=1540622633&sr=1-719&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
2015 Work From Home Guide A-Z: Over 140 REAL Legit Companies That Will Pay YOU To Work From Home,"7,364,608","2,000.00",Karena Andrews,Paperback,150566649X, 150566649X, 978-1505666496,https://www.amazon.co.uk/2015-Work-Home-Guide-Companies/dp/150566649X/ref=sr_1_718?s=books&ie=UTF8&qid=1540622633&sr=1-718&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Paper Wishes: Volume 1 (The Magical Girl Series),"3,605,822","2,000.00",Spencer Hoshino,Paperback,1523805080, 1523805080, 978-1523805082,https://www.amazon.co.uk/Paper-Wishes-1-Magical-Girl/dp/1523805080/ref=sr_1_712?s=books&ie=UTF8&qid=1540622633&sr=1-712&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Speculations on Postcapitalism: How Digitalization Is Disrupting Everything We Know About Modern Civilization,"5,656,884","2,000.00",Anthony Signorelli,Paperback,1542931940, 1542931940, 978-1542931946,https://www.amazon.co.uk/Speculations-Postcapitalism-Digitalization-Disrupting-Civilization/dp/1542931940/ref=sr_1_709?s=books&ie=UTF8&qid=1540622633&sr=1-709&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
1988: The Year I Was Born,"6,247,084","2,000.00",No Author Specified!!,Paperback,1550741926, 1550741926, 978-1550741926,https://www.amazon.co.uk/1988-Year-I-Was-Born/dp/1550741926/ref=sr_1_706?s=books&ie=UTF8&qid=1540622633&sr=1-706&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
AAA Spiral Guide: Thailand (AAA Spiral Guides),"7,108,715","2,000.00",AAA Publishing,Paperback,1562517619, 1562517619, 978-1562517618,https://www.amazon.co.uk/AAA-Spiral-Guide-Thailand-Guides/dp/1562517619/ref=sr_1_677?s=books&ie=UTF8&qid=1540622604&sr=1-677&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The One Who Leaves Never Returns,"6,478,368","2,000.00",J. Anthony Paladin,Paperback,1564743683, 1564743683, 978-1564743688,https://www.amazon.co.uk/One-Who-Leaves-Never-Returns/dp/1564743683/ref=sr_1_670?s=books&ie=UTF8&qid=1540622584&sr=1-670&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Goats (Farm Animals),"9,669,134","2,000.00",Heather C. Hudak,Paperback,1590364317, 1590364317, 978-1590364314,https://www.amazon.co.uk/Goats-Farm-Animals-Heather-Hudak/dp/1590364317/ref=sr_1_627?s=books&ie=UTF8&qid=1540622548&sr=1-627&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Queen Rania Al-Abdullah (Remarkable People),"5,417,878","2,000.00",Leia Tait,Paperback,1590366468, 1590366468, 978-1590366462,https://www.amazon.co.uk/Queen-Rania-Al-Abdullah-Remarkable-People/dp/1590366468/ref=sr_1_626?s=books&ie=UTF8&qid=1540622548&sr=1-626&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Principles and Practice of Surveying Sample Examination,"8,592,074","2,000.00",George M. Cole,Paperback,1591260450, 1591260450, 978-1591260455,https://www.amazon.co.uk/Principles-Practice-Surveying-Sample-Examination/dp/1591260450/ref=sr_1_619?s=books&ie=UTF8&qid=1540622528&sr=1-619&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Haircuts Don't Hurt (Science about Me),"9,552,714","2,000.00",Nicki Clausen-Grace,Paperback,1595159312, 1595159312, 978-1595159311,https://www.amazon.co.uk/Haircuts-Dont-Hurt-Science-about/dp/1595159312/ref=sr_1_609?s=books&ie=UTF8&qid=1540622528&sr=1-609&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Long Vendetta,"6,936,936","2,000.00",Clifton Adams,Paperback,1596544309, 1596544309, 978-1596544307,https://www.amazon.co.uk/Long-Vendetta-Clifton-Adams/dp/1596544309/ref=sr_1_604?s=books&ie=UTF8&qid=1540622508&sr=1-604&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"An Ex-Con's Guide to Living and Winning...at Slots, Blackjack, Roulette and Craps!","9,597,078","2,000.00",S. Silas Patterson,Paperback,1597440531, 1597440531, 978-1597440530,https://www.amazon.co.uk/Ex-Cons-Living-Winning-Blackjack-Roulette/dp/1597440531/ref=sr_1_600?s=books&ie=UTF8&qid=1540622508&sr=1-600&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Milburn the Macaroni Penguin,"4,602,660","2,000.00",Simion Santi Walker,Paperback,1604624760, 1604624760, 978-1604624762,https://www.amazon.co.uk/Milburn-Macaroni-Penguin-Simion-Walker/dp/1604624760/ref=sr_1_585?s=books&ie=UTF8&qid=1540622493&sr=1-585&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Unholy Promises,"6,591,999","2,000.00",Roxy Harte,Paperback,1616501626, 1616501626, 978-1616501624,https://www.amazon.co.uk/Unholy-Promises-Roxy-Harte/dp/1616501626/ref=sr_1_568?s=books&ie=UTF8&qid=1540622473&sr=1-568&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Maximus the Musical Elephant,"8,942,376","2,000.00",James Langston Jr,Paperback,1617775355, 1617775355, 978-1617775352,https://www.amazon.co.uk/Maximus-Musical-Elephant-James-Langston/dp/1617775355/ref=sr_1_564?s=books&ie=UTF8&qid=1540622473&sr=1-564&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Shadow's Spark: Season One - Episode 2: Volume 2 (Infinite Worlds ROBLOX),"4,605,283","2,000.00",Steve DeWinter,Paperback,1619780895, 1619780895, 978-1619780897,https://www.amazon.co.uk/Shadows-Spark-Season-Episode-Infinite/dp/1619780895/ref=sr_1_561?s=books&ie=UTF8&qid=1540622473&sr=1-561&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Culture and Language Learning in Higher Education,"5,205,310","2,000.00",Michael Byram,Paperback,1853592285, 1853592285, 978-1853592287,https://www.amazon.co.uk/Culture-Language-Learning-Higher-Education/dp/1853592285/ref=sr_1_545?s=books&ie=UTF8&qid=1540622457&sr=1-545&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Prodigal Virgin,"8,663,647","2,000.00",No Author Specified!!,Paperback,1878320238, 1878320238, 978-1878320230,https://www.amazon.co.uk/Prodigal-Virgin/dp/1878320238/ref=sr_1_539?s=books&ie=UTF8&qid=1540622437&sr=1-539&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Images of Women in Chinese Literature,"8,729,677","2,000.00",Li-Yu-Ning,Paperback,1880938006, 1880938006, 978-1880938003,https://www.amazon.co.uk/Images-Women-Chinese-Literature-Li-Yu-Ning/dp/1880938006/ref=sr_1_529?s=books&ie=UTF8&qid=1540622437&sr=1-529&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Systems Archetypes I,"3,142,782","2,000.00",Daniel H. Kim,Paperback,1883823005, 1883823005, 978-1883823009,https://www.amazon.co.uk/Systems-Archetypes-Daniel-H-Kim/dp/1883823005/ref=sr_1_518?s=books&ie=UTF8&qid=1540622422&sr=1-518&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
How to Break Article Noun: Journal of Experimental Fiction 46,"8,144,652","2,000.00",Carolyn Chun,Paperback,1884097464, 1884097464, 978-1884097461,https://www.amazon.co.uk/How-Break-Noun-Journal-Experimental/dp/1884097464/ref=sr_1_515?s=books&ie=UTF8&qid=1540622422&sr=1-515&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Running with Giants,"9,652,611","2,000.00",Rogan Summerton,Paperback,1905363664, 1905363664, 978-1905363667,https://www.amazon.co.uk/Running-Giants-Rogan-Summerton/dp/1905363664/ref=sr_1_488?s=books&ie=UTF8&qid=1540622394&sr=1-488&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Absolutely Advent!: Day by Day to Christmas 2006,"8,940,450","2,000.00",Jean Larkin,Paperback,1933178434, 1933178434, 978-1933178431,https://www.amazon.co.uk/Absolutely-Advent-Day-Christmas-2006/dp/1933178434/ref=sr_1_469?s=books&ie=UTF8&qid=1540622374&sr=1-469&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Masters & Renegades: Magic University,"9,336,381","2,000.00",Chantal Boudreau,Paperback,193673009X, 193673009X, 978-1936730094,https://www.amazon.co.uk/Masters-Renegades-University-Chantal-Boudreau/dp/193673009X/ref=sr_1_458?s=books&ie=UTF8&qid=1540622357&sr=1-458&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Cphq Study Guide: Test Prep and Practice Questions for the Cphq Exam,"7,052,648","2,000.00",Trivium Test Prep,Paperback,1939587964, 1939587964, 978-1939587961,https://www.amazon.co.uk/Cphq-Study-Guide-Practice-Questions/dp/1939587964/ref=sr_1_452?s=books&ie=UTF8&qid=1540622357&sr=1-452&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Das dokumentarische Theater der sechziger Jahre in der Bundesrepublik Deutschland (Hochschulschriften. Literaturwissenschaft. 32),"7,873,698","2,000.00",Arnold Blumer,Paperback,3445015139, 3445015139, 978-3445015136,https://www.amazon.co.uk/dokumentarische-Bundesrepublik-Deutschland-Hochschulschriften-Literaturwissenschaft/dp/3445015139/ref=sr_1_444?s=books&ie=UTF8&qid=1540622339&sr=1-444&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Lonely Planet Japon (Travel Guide),"3,493,853","2,000.00",Chris Rowthorn,Paperback,8408124056, 8408124056, 978-8408124054,https://www.amazon.co.uk/Lonely-Planet-Japon-Travel-Guide/dp/8408124056/ref=sr_1_431?s=books&ie=UTF8&qid=1540622322&sr=1-431&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Chino americano/ American Born Chinese,"7,176,500","2,000.00",Gene Luen Yang,Paperback,8478337660, 8478337660, 978-8478337668,https://www.amazon.co.uk/Chino-americano-American-Born-Chinese/dp/8478337660/ref=sr_1_429?s=books&ie=UTF8&qid=1540622322&sr=1-429&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Ovnis: Vuelos Secretos Y Misteriosos,"8,958,347","1,999.98",Daniel Solano Bacallao,Paperback,9590502407, 9590502407, 978-9590502408,https://www.amazon.co.uk/Ovnis-Vuelos-Secretos-Y-Misteriosos/dp/9590502407/ref=sr_1_393?s=books&ie=UTF8&qid=1540622290&sr=1-393&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Stories from Abakwa,"7,512,786","2,000.00",Francis B. Nyamnjoh,Paperback,9956558001, 9956558001, 978-9956558001,https://www.amazon.co.uk/Stories-Abakwa-Francis-B-Nyamnjoh/dp/9956558001/ref=sr_1_379?s=books&ie=UTF8&qid=1540622273&sr=1-379&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"(Articles on SPIDERS OF SOUTH AMERICA, INCLUDING: CHILEAN ROSE TARANTULA, MISSULENA, CHILEAN RECLUSE, BRAZILIAN WANDERING SPIDER, CHEIRACANTHIUM INCLUSUM, GOLIATH) BY Hephaestus Books(Author)Paperback Sep-2011","8,604,302","2,000.00",No Author Specified!!,Paperback,B007S79R02,Not available,Not available,https://www.amazon.co.uk/Articles-SPIDERS-SOUTH-AMERICA-INCLUDING/dp/B007S79R02/ref=sr_1_366?s=books&ie=UTF8&qid=1540622255&sr=1-366&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"Speak Swahili, Dammit!","7,822,551","2,000.00",JamesPenhaligon,Paperback,B00GPKYPA0,Not available,Not available,https://www.amazon.co.uk/Speak-Swahili-Dammit-JamesPenhaligon/dp/B00GPKYPA0/ref=sr_1_348?s=books&ie=UTF8&qid=1540622238&sr=1-348&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Making Fantasy Cloth Dolls,"6,714,630","2,000.00",JanHorrox,Paperback,B00GQ3GWGG,Not available,Not available,https://www.amazon.co.uk/Making-Fantasy-Cloth-Dolls-JanHorrox/dp/B00GQ3GWGG/ref=sr_1_347?s=books&ie=UTF8&qid=1540622238&sr=1-347&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"{{UKRAINIAN POETS, INCLUDING: ANNA AKHMATOVA, TARAS SHEVCHENKO, IVAN FRANKO, LESYA UKRAINKA, OLENA TELIHA, PAVLO TYCHYNA, MYKOLA BAZHAN, SASHA CHORN BY HEPHAESTUS BOOKS} [PAPERBACK]","8,344,887","2,000.00",No Author Specified!!,Paperback,B00HP1IOSW,Not available,Not available,https://www.amazon.co.uk/UKRAINIAN-POETS-INCLUDING-SHEVCHENKO-HEPHAESTUS/dp/B00HP1IOSW/ref=sr_1_346?s=books&ie=UTF8&qid=1540622238&sr=1-346&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
